S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,state,constituency,value
1926,DIMPLE YADAV,Samajwadi Party,596710,1816,598526,56.79,Uttar Pradesh,Mainpuri - 21,S2421
1927,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,507535,2529,510064,53.3,Uttar Pradesh,Mathura - 17,S2417
1928,ARUN GOVIL,Bharatiya Janata Party,544375,2094,546469,46.21,Uttar Pradesh,Meerut - 10,S2410
1929,ANUPRIYA PATEL,Apna Dal (Soneylal),470866,765,471631,42.67,Uttar Pradesh,Mirzapur - 79,S2479
1930,ASHOK KUMAR RAWAT,Bharatiya Janata Party,473971,1045,475016,45.15,Uttar Pradesh,Misrikh - 32,S2432
1931,R.K. CHAUDHARY,Samajwadi Party,666560,1309,667869,48.49,Uttar Pradesh,Mohanlalganj - 34,S2434
1932,RUCHI VIRA,Samajwadi Party,636733,630,637363,49.67,Uttar Pradesh,Moradabad - 6,S246
1933,HARENDRA SINGH MALIK,Samajwadi Party,469804,917,470721,43.64,Uttar Pradesh,Muzaffarnagar - 3,S243
1934,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),511812,740,512552,51.19,Uttar Pradesh,Nagina - 5,S245
1935,PRAVEEN PATEL,Bharatiya Janata Party,451380,1220,452600,44.6,Uttar Pradesh,Phulpur - 51,S2451
1936,JITIN PRASADA,Bharatiya Janata Party,605199,1959,607158,52.3,Uttar Pradesh,Pilibhit - 26,S2426
1937,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,439836,2096,441932,46.65,Uttar Pradesh,Pratapgarh - 39,S2439
1938,RAHUL GANDHI,Indian National Congress,686044,1605,687649,66.17,Uttar Pradesh,Rae Bareli - 36,S2436
1939,MOHIBBULLAH,Samajwadi Party,481252,251,481503,49.74,Uttar Pradesh,Rampur - 7,S247
1940,CHHOTELAL,Samajwadi Party,465240,608,465848,46.14,Uttar Pradesh,Robertsganj - 80,S2480
1941,IMRAN MASOOD,Indian National Congress,547383,584,547967,44.57,Uttar Pradesh,Saharanpur - 1,S241
1942,RAMASHANKAR RAJBHAR,Samajwadi Party,403616,1856,405472,44.2,Uttar Pradesh,Salempur - 71,S2471
1943,ZIA UR REHMAN,Samajwadi Party,570745,416,571161,47.8,Uttar Pradesh,Sambhal - 8,S248
1944,LAXMIKANT PAPPU NISHAD,Samajwadi Party,497488,1207,498695,45.7,Uttar Pradesh,Sant Kabir Nagar - 62,S2462
1945,ARUN KUMAR SAGAR,Bharatiya Janata Party,591500,1218,592718,47.5,Uttar Pradesh,Shahjahanpur - 27,S2427
1946,RAM SHIROMANI VERMA,Samajwadi Party,510754,301,511055,48.83,Uttar Pradesh,Shrawasti - 58,S2458
1947,RAKESH RATHOR,Indian National Congress,530467,671,531138,48.2,Uttar Pradesh,Sitapur - 30,S2430
1948,RAMBHUAL NISHAD,Samajwadi Party,442886,1444,444330,43,Uttar Pradesh,Sultanpur - 38,S2438
1949,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,614832,1301,616133,47.31,Uttar Pradesh,Unnao - 33,S2433
1950,NARENDRA MODI,Bharatiya Janata Party,611439,1531,612970,54.24,Uttar Pradesh,Varanasi - 77,S2477
1951,PROF S P SINGH BAGHEL,Bharatiya Janata Party,597061,2336,599397,53.34,Uttar Pradesh,Agra - 18,S2418
1952,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,514256,3167,517423,47.6,Uttar Pradesh,Akbarpur - 44,S2444
1953,SATISH KUMAR GAUTAM,Bharatiya Janata Party,500453,1381,501834,44.28,Uttar Pradesh,Aligarh - 15,S2415
1954,UJJWAL RAMAN SINGH,Indian National Congress,461100,1045,462145,48.8,Uttar Pradesh,Allahabad - 52,S2452
1955,LALJI VERMA,Samajwadi Party,543721,1238,544959,46.3,Uttar Pradesh,Ambedkar Nagar - 55,S2455
1956,KISHORI LAL,Indian National Congress,536680,2548,539228,54.99,Uttar Pradesh,Amethi - 37,S2437
1957,KANWAR SINGH TANWAR,Bharatiya Janata Party,475210,1296,476506,42.9,Uttar Pradesh,Amroha - 9,S249
1958,NEERAJ MAURYA,Samajwadi Party,491119,1396,492515,45.23,Uttar Pradesh,Aonla - 24,S2424
1959,DHARMENDRA YADAV,Samajwadi Party,504837,3402,508239,48.2,Uttar Pradesh,Azamgarh - 69,S2469
1960,ADITYA YADAV,Samajwadi Party,501390,465,501855,45.97,Uttar Pradesh,Badaun - 23,S2423
1961,DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,485765,3202,488967,52.36,Uttar Pradesh,Baghpat - 11,S2411
1962,ANAND KUMAR,Bharatiya Janata Party,518575,227,518802,49.1,Uttar Pradesh,Baharaich - 56,S2456
1963,SANATAN PANDEY,Samajwadi Party,464473,2595,467068,46.37,Uttar Pradesh,Ballia - 72,S2472
1964,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,406018,549,406567,38.94,Uttar Pradesh,Banda - 48,S2448
1965,KAMLESH PASWAN,Bharatiya Janata Party,427528,1165,428693,45.38,Uttar Pradesh,Bansgaon - 67,S2467
1966,TANUJ PUNIA,Indian National Congress,718528,1399,719927,55.78,Uttar Pradesh,Barabanki - 53,S2453
1967,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,565600,1527,567127,50.66,Uttar Pradesh,Bareilly - 25,S2425
1968,RAM PRASAD CHAUDHARY,Samajwadi Party,523487,3518,527005,48.67,Uttar Pradesh,Basti - 61,S2461
1969,DR. VINOD KUMAR BIND,Bharatiya Janata Party,458877,1105,459982,42.39,Uttar Pradesh,Bhadohi - 78,S2478
1970,CHANDAN CHAUHAN,Rashtriya Lok Dal,402604,1889,404493,39.48,Uttar Pradesh,Bijnor - 4,S244
1971,DR BHOLA SINGH,Bharatiya Janata Party,594040,3270,597310,56.65,Uttar Pradesh,Bulandshahr - 14,S2414
1972,BIRENDRA SINGH,Samajwadi Party,472928,1548,474476,42.5,Uttar Pradesh,Chandauli - 76,S2476
1973,SHASHANK MANI,Bharatiya Janata Party,503509,1032,504541,48.36,Uttar Pradesh,Deoria - 66,S2466
1974,ANAND BHADAURIYA,Samajwadi Party,442650,1093,443743,39.91,Uttar Pradesh,Dhaurahra - 29,S2429
1975,JAGDAMBIKA PAL,Bharatiya Janata Party,462614,689,463303,45.47,Uttar Pradesh,Domariyaganj - 60,S2460
1976,DEVESH SHAKYA,Samajwadi Party,474263,1545,475808,47.09,Uttar Pradesh,Etah - 22,S2422
1977,JITENDRA KUMAR DOHARE,Samajwadi Party,489358,1389,490747,47.47,Uttar Pradesh,Etawah - 41,S2441
1978,AWADHESH PRASAD,Samajwadi Party,553549,740,554289,48.59,Uttar Pradesh,Faizabad - 54,S2454
1979,MUKESH RAJPUT,Bharatiya Janata Party,486925,1038,487963,47.2,Uttar Pradesh,Farrukhabad - 40,S2440
1980,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,499866,462,500328,45.2,Uttar Pradesh,Fatehpur - 49,S2449
1981,RAJKUMAR CHAHAR,Bharatiya Janata Party,442862,2795,445657,43.09,Uttar Pradesh,Fatehpur Sikri - 19,S2419
1982,AKSHAYA YADAV,Samajwadi Party,541861,1176,543037,49.04,Uttar Pradesh,Firozabad - 20,S2420
1983,DR. MAHESH SHARMA,Bharatiya Janata Party,855413,2416,857829,59.69,Uttar Pradesh,Gautam Buddha Nagar - 13,S2413
1984,ATUL GARG,Bharatiya Janata Party,853036,1134,854170,58.09,Uttar Pradesh,Ghaziabad - 12,S2412
1985,AFZAL ANSARI,Samajwadi Party,537784,2128,539912,46.82,Uttar Pradesh,Ghazipur - 75,S2475
1986,RAJEEV RAI,Samajwadi Party,501407,1724,503131,43.73,Uttar Pradesh,Ghosi - 70,S2470
1987,KIRTIVARDHAN SINGH,Bharatiya Janata Party,473691,567,474258,49.77,Uttar Pradesh,Gonda - 59,S2459
1988,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,584512,1322,585834,50.75,Uttar Pradesh,Gorakhpur - 64,S2464
1989,AJENDRA SINGH LODHI,Samajwadi Party,490003,680,490683,44,Uttar Pradesh,Hamirpur - 47,S2447
1990,JAI PRAKASH,Bharatiya Janata Party,485745,1053,486798,44.25,Uttar Pradesh,Hardoi - 31,S2431
1991,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,552334,2412,554746,51.24,Uttar Pradesh,Hathras - 16,S2416
1992,NARAYAN DAS AHIRWAR,Samajwadi Party,529444,736,530180,46.96,Uttar Pradesh,Jalaun - 45,S2445
1993,BABU SINGH KUSHWAHA,Samajwadi Party,506076,3054,509130,46.21,Uttar Pradesh,Jaunpur - 73,S2473
1994,ANURAG SHARMA,Bharatiya Janata Party,689438,878,690316,50,Uttar Pradesh,Jhansi - 46,S2446
1995,IQRA CHOUDHARY,Samajwadi Party,526887,1126,528013,48.9,Uttar Pradesh,Kairana - 2,S242
1996,KARAN BHUSHAN SINGH,Bharatiya Janata Party,570436,827,571263,53.79,Uttar Pradesh,Kaiserganj - 57,S2457
1997,AKHILESH YADAV,Samajwadi Party,640207,2085,642292,52.74,Uttar Pradesh,Kannauj - 42,S2442
1998,RAMESH AWASTHI,Bharatiya Janata Party,440609,2446,443055,49.93,Uttar Pradesh,Kanpur - 43,S2443
1999,PUSHPENDRA SAROJ,Samajwadi Party,509175,612,509787,50.51,Uttar Pradesh,Kaushambi - 50,S2450
2000,UTKARSH VERMA  'MADHUR',Samajwadi Party,555277,2088,557365,45.94,Uttar Pradesh,Kheri - 28,S2428
2001,VIJAY KUMAR DUBAY,Bharatiya Janata Party,516006,339,516345,47.79,Uttar Pradesh,Kushi Nagar - 65,S2465
2002,DAROGA PRASAD SAROJ,Samajwadi Party,437567,2392,439959,43.85,Uttar Pradesh,Lalganj - 68,S2468
2003,RAJ NATH SINGH,Bharatiya Janata Party,610597,2112,612709,53.89,Uttar Pradesh,Lucknow - 35,S2435
2004,PRIYA SAROJ,Samajwadi Party,449561,1731,451292,42.57,Uttar Pradesh,Machhlishahr - 74,S2474
2005,PANKAJ CHAUDHARY,Bharatiya Janata Party,590487,823,591310,48.85,Uttar Pradesh,Maharajganj - 63,S2463
2006,DIMPLE YADAV,Samajwadi Party,596710,1816,598526,56.79,Uttar Pradesh,Mainpuri - 21,S2421
2007,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,507535,2529,510064,53.3,Uttar Pradesh,Mathura - 17,S2417
2008,ARUN GOVIL,Bharatiya Janata Party,544375,2094,546469,46.21,Uttar Pradesh,Meerut - 10,S2410
2009,ANUPRIYA PATEL,Apna Dal (Soneylal),470866,765,471631,42.67,Uttar Pradesh,Mirzapur - 79,S2479
2010,ASHOK KUMAR RAWAT,Bharatiya Janata Party,473971,1045,475016,45.15,Uttar Pradesh,Misrikh - 32,S2432
2011,R.K. CHAUDHARY,Samajwadi Party,666560,1309,667869,48.49,Uttar Pradesh,Mohanlalganj - 34,S2434
2012,RUCHI VIRA,Samajwadi Party,636733,630,637363,49.67,Uttar Pradesh,Moradabad - 6,S246
2013,HARENDRA SINGH MALIK,Samajwadi Party,469804,917,470721,43.64,Uttar Pradesh,Muzaffarnagar - 3,S243
2014,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),511812,740,512552,51.19,Uttar Pradesh,Nagina - 5,S245
2015,PRAVEEN PATEL,Bharatiya Janata Party,451380,1220,452600,44.6,Uttar Pradesh,Phulpur - 51,S2451
2016,JITIN PRASADA,Bharatiya Janata Party,605199,1959,607158,52.3,Uttar Pradesh,Pilibhit - 26,S2426
2017,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,439836,2096,441932,46.65,Uttar Pradesh,Pratapgarh - 39,S2439
2018,RAHUL GANDHI,Indian National Congress,686044,1605,687649,66.17,Uttar Pradesh,Rae Bareli - 36,S2436
2019,MOHIBBULLAH,Samajwadi Party,481252,251,481503,49.74,Uttar Pradesh,Rampur - 7,S247
2020,CHHOTELAL,Samajwadi Party,465240,608,465848,46.14,Uttar Pradesh,Robertsganj - 80,S2480
2021,IMRAN MASOOD,Indian National Congress,547383,584,547967,44.57,Uttar Pradesh,Saharanpur - 1,S241
2022,RAMASHANKAR RAJBHAR,Samajwadi Party,403616,1856,405472,44.2,Uttar Pradesh,Salempur - 71,S2471
2023,ZIA UR REHMAN,Samajwadi Party,570745,416,571161,47.8,Uttar Pradesh,Sambhal - 8,S248
2024,LAXMIKANT PAPPU NISHAD,Samajwadi Party,497488,1207,498695,45.7,Uttar Pradesh,Sant Kabir Nagar - 62,S2462
2025,ARUN KUMAR SAGAR,Bharatiya Janata Party,591500,1218,592718,47.5,Uttar Pradesh,Shahjahanpur - 27,S2427
2026,RAM SHIROMANI VERMA,Samajwadi Party,510754,301,511055,48.83,Uttar Pradesh,Shrawasti - 58,S2458
2027,RAKESH RATHOR,Indian National Congress,530467,671,531138,48.2,Uttar Pradesh,Sitapur - 30,S2430
2028,RAMBHUAL NISHAD,Samajwadi Party,442886,1444,444330,43,Uttar Pradesh,Sultanpur - 38,S2438
2029,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,614832,1301,616133,47.31,Uttar Pradesh,Unnao - 33,S2433
2030,NARENDRA MODI,Bharatiya Janata Party,611439,1531,612970,54.24,Uttar Pradesh,Varanasi - 77,S2477
2031,PROF S P SINGH BAGHEL,Bharatiya Janata Party,597061,2336,599397,53.34,Uttar Pradesh,Agra - 18,S2418
2032,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,514256,3167,517423,47.6,Uttar Pradesh,Akbarpur - 44,S2444
2033,SATISH KUMAR GAUTAM,Bharatiya Janata Party,500453,1381,501834,44.28,Uttar Pradesh,Aligarh - 15,S2415
2034,UJJWAL RAMAN SINGH,Indian National Congress,461100,1045,462145,48.8,Uttar Pradesh,Allahabad - 52,S2452
2035,LALJI VERMA,Samajwadi Party,543721,1238,544959,46.3,Uttar Pradesh,Ambedkar Nagar - 55,S2455
2036,KISHORI LAL,Indian National Congress,536680,2548,539228,54.99,Uttar Pradesh,Amethi - 37,S2437
2037,KANWAR SINGH TANWAR,Bharatiya Janata Party,475210,1296,476506,42.9,Uttar Pradesh,Amroha - 9,S249
2038,NEERAJ MAURYA,Samajwadi Party,491119,1396,492515,45.23,Uttar Pradesh,Aonla - 24,S2424
2039,DHARMENDRA YADAV,Samajwadi Party,504837,3402,508239,48.2,Uttar Pradesh,Azamgarh - 69,S2469
2040,ADITYA YADAV,Samajwadi Party,501390,465,501855,45.97,Uttar Pradesh,Badaun - 23,S2423
2041,DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,485765,3202,488967,52.36,Uttar Pradesh,Baghpat - 11,S2411
2042,ANAND KUMAR,Bharatiya Janata Party,518575,227,518802,49.1,Uttar Pradesh,Baharaich - 56,S2456
2043,SANATAN PANDEY,Samajwadi Party,464473,2595,467068,46.37,Uttar Pradesh,Ballia - 72,S2472
2044,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,406018,549,406567,38.94,Uttar Pradesh,Banda - 48,S2448
2045,KAMLESH PASWAN,Bharatiya Janata Party,427528,1165,428693,45.38,Uttar Pradesh,Bansgaon - 67,S2467
2046,TANUJ PUNIA,Indian National Congress,718528,1399,719927,55.78,Uttar Pradesh,Barabanki - 53,S2453
2047,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,565600,1527,567127,50.66,Uttar Pradesh,Bareilly - 25,S2425
2048,RAM PRASAD CHAUDHARY,Samajwadi Party,523487,3518,527005,48.67,Uttar Pradesh,Basti - 61,S2461
2049,DR. VINOD KUMAR BIND,Bharatiya Janata Party,458877,1105,459982,42.39,Uttar Pradesh,Bhadohi - 78,S2478
2050,CHANDAN CHAUHAN,Rashtriya Lok Dal,402604,1889,404493,39.48,Uttar Pradesh,Bijnor - 4,S244
2051,DR BHOLA SINGH,Bharatiya Janata Party,594040,3270,597310,56.65,Uttar Pradesh,Bulandshahr - 14,S2414
2052,BIRENDRA SINGH,Samajwadi Party,472928,1548,474476,42.5,Uttar Pradesh,Chandauli - 76,S2476
2053,SHASHANK MANI,Bharatiya Janata Party,503509,1032,504541,48.36,Uttar Pradesh,Deoria - 66,S2466
2054,ANAND BHADAURIYA,Samajwadi Party,442650,1093,443743,39.91,Uttar Pradesh,Dhaurahra - 29,S2429
2055,JAGDAMBIKA PAL,Bharatiya Janata Party,462614,689,463303,45.47,Uttar Pradesh,Domariyaganj - 60,S2460
2056,DEVESH SHAKYA,Samajwadi Party,474263,1545,475808,47.09,Uttar Pradesh,Etah - 22,S2422
2057,JITENDRA KUMAR DOHARE,Samajwadi Party,489358,1389,490747,47.47,Uttar Pradesh,Etawah - 41,S2441
2058,AWADHESH PRASAD,Samajwadi Party,553549,740,554289,48.59,Uttar Pradesh,Faizabad - 54,S2454
2059,MUKESH RAJPUT,Bharatiya Janata Party,486925,1038,487963,47.2,Uttar Pradesh,Farrukhabad - 40,S2440
2060,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,499866,462,500328,45.2,Uttar Pradesh,Fatehpur - 49,S2449
2061,RAJKUMAR CHAHAR,Bharatiya Janata Party,442862,2795,445657,43.09,Uttar Pradesh,Fatehpur Sikri - 19,S2419
2062,AKSHAYA YADAV,Samajwadi Party,541861,1176,543037,49.04,Uttar Pradesh,Firozabad - 20,S2420
2063,DR. MAHESH SHARMA,Bharatiya Janata Party,855413,2416,857829,59.69,Uttar Pradesh,Gautam Buddha Nagar - 13,S2413
2064,ATUL GARG,Bharatiya Janata Party,853036,1134,854170,58.09,Uttar Pradesh,Ghaziabad - 12,S2412
2065,AFZAL ANSARI,Samajwadi Party,537784,2128,539912,46.82,Uttar Pradesh,Ghazipur - 75,S2475
2066,RAJEEV RAI,Samajwadi Party,501407,1724,503131,43.73,Uttar Pradesh,Ghosi - 70,S2470
2067,KIRTIVARDHAN SINGH,Bharatiya Janata Party,473691,567,474258,49.77,Uttar Pradesh,Gonda - 59,S2459
2068,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,584512,1322,585834,50.75,Uttar Pradesh,Gorakhpur - 64,S2464
2069,AJENDRA SINGH LODHI,Samajwadi Party,490003,680,490683,44,Uttar Pradesh,Hamirpur - 47,S2447
2070,JAI PRAKASH,Bharatiya Janata Party,485745,1053,486798,44.25,Uttar Pradesh,Hardoi - 31,S2431
2071,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,552334,2412,554746,51.24,Uttar Pradesh,Hathras - 16,S2416
2072,NARAYAN DAS AHIRWAR,Samajwadi Party,529444,736,530180,46.96,Uttar Pradesh,Jalaun - 45,S2445
2073,BABU SINGH KUSHWAHA,Samajwadi Party,506076,3054,509130,46.21,Uttar Pradesh,Jaunpur - 73,S2473
2074,ANURAG SHARMA,Bharatiya Janata Party,689438,878,690316,50,Uttar Pradesh,Jhansi - 46,S2446
2075,IQRA CHOUDHARY,Samajwadi Party,526887,1126,528013,48.9,Uttar Pradesh,Kairana - 2,S242
2076,KARAN BHUSHAN SINGH,Bharatiya Janata Party,570436,827,571263,53.79,Uttar Pradesh,Kaiserganj - 57,S2457
2077,AKHILESH YADAV,Samajwadi Party,640207,2085,642292,52.74,Uttar Pradesh,Kannauj - 42,S2442
2078,RAMESH AWASTHI,Bharatiya Janata Party,440609,2446,443055,49.93,Uttar Pradesh,Kanpur - 43,S2443
2079,PUSHPENDRA SAROJ,Samajwadi Party,509175,612,509787,50.51,Uttar Pradesh,Kaushambi - 50,S2450
2080,UTKARSH VERMA  'MADHUR',Samajwadi Party,555277,2088,557365,45.94,Uttar Pradesh,Kheri - 28,S2428
2081,VIJAY KUMAR DUBAY,Bharatiya Janata Party,516006,339,516345,47.79,Uttar Pradesh,Kushi Nagar - 65,S2465
2082,DAROGA PRASAD SAROJ,Samajwadi Party,437567,2392,439959,43.85,Uttar Pradesh,Lalganj - 68,S2468
2083,RAJ NATH SINGH,Bharatiya Janata Party,610597,2112,612709,53.89,Uttar Pradesh,Lucknow - 35,S2435
2084,PRIYA SAROJ,Samajwadi Party,449561,1731,451292,42.57,Uttar Pradesh,Machhlishahr - 74,S2474
2085,PANKAJ CHAUDHARY,Bharatiya Janata Party,590487,823,591310,48.85,Uttar Pradesh,Maharajganj - 63,S2463
2086,DIMPLE YADAV,Samajwadi Party,596710,1816,598526,56.79,Uttar Pradesh,Mainpuri - 21,S2421
2087,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,507535,2529,510064,53.3,Uttar Pradesh,Mathura - 17,S2417
2088,ARUN GOVIL,Bharatiya Janata Party,544375,2094,546469,46.21,Uttar Pradesh,Meerut - 10,S2410
2089,ANUPRIYA PATEL,Apna Dal (Soneylal),470866,765,471631,42.67,Uttar Pradesh,Mirzapur - 79,S2479
2090,ASHOK KUMAR RAWAT,Bharatiya Janata Party,473971,1045,475016,45.15,Uttar Pradesh,Misrikh - 32,S2432
2091,R.K. CHAUDHARY,Samajwadi Party,666560,1309,667869,48.49,Uttar Pradesh,Mohanlalganj - 34,S2434
2092,RUCHI VIRA,Samajwadi Party,636733,630,637363,49.67,Uttar Pradesh,Moradabad - 6,S246
2093,HARENDRA SINGH MALIK,Samajwadi Party,469804,917,470721,43.64,Uttar Pradesh,Muzaffarnagar - 3,S243
2094,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),511812,740,512552,51.19,Uttar Pradesh,Nagina - 5,S245
2095,PRAVEEN PATEL,Bharatiya Janata Party,451380,1220,452600,44.6,Uttar Pradesh,Phulpur - 51,S2451
2096,JITIN PRASADA,Bharatiya Janata Party,605199,1959,607158,52.3,Uttar Pradesh,Pilibhit - 26,S2426
2097,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,439836,2096,441932,46.65,Uttar Pradesh,Pratapgarh - 39,S2439
2098,RAHUL GANDHI,Indian National Congress,686044,1605,687649,66.17,Uttar Pradesh,Rae Bareli - 36,S2436
2099,MOHIBBULLAH,Samajwadi Party,481252,251,481503,49.74,Uttar Pradesh,Rampur - 7,S247
2100,CHHOTELAL,Samajwadi Party,465240,608,465848,46.14,Uttar Pradesh,Robertsganj - 80,S2480
2101,IMRAN MASOOD,Indian National Congress,547383,584,547967,44.57,Uttar Pradesh,Saharanpur - 1,S241
2102,RAMASHANKAR RAJBHAR,Samajwadi Party,403616,1856,405472,44.2,Uttar Pradesh,Salempur - 71,S2471
2103,ZIA UR REHMAN,Samajwadi Party,570745,416,571161,47.8,Uttar Pradesh,Sambhal - 8,S248
2104,LAXMIKANT PAPPU NISHAD,Samajwadi Party,497488,1207,498695,45.7,Uttar Pradesh,Sant Kabir Nagar - 62,S2462
2105,ARUN KUMAR SAGAR,Bharatiya Janata Party,591500,1218,592718,47.5,Uttar Pradesh,Shahjahanpur - 27,S2427
2106,RAM SHIROMANI VERMA,Samajwadi Party,510754,301,511055,48.83,Uttar Pradesh,Shrawasti - 58,S2458
2107,RAKESH RATHOR,Indian National Congress,530467,671,531138,48.2,Uttar Pradesh,Sitapur - 30,S2430
2108,RAMBHUAL NISHAD,Samajwadi Party,442886,1444,444330,43,Uttar Pradesh,Sultanpur - 38,S2438
2109,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,614832,1301,616133,47.31,Uttar Pradesh,Unnao - 33,S2433
2110,NARENDRA MODI,Bharatiya Janata Party,611439,1531,612970,54.24,Uttar Pradesh,Varanasi - 77,S2477
2111,PROF S P SINGH BAGHEL,Bharatiya Janata Party,597061,2336,599397,53.34,Uttar Pradesh,Agra - 18,S2418
2112,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,514256,3167,517423,47.6,Uttar Pradesh,Akbarpur - 44,S2444
2113,SATISH KUMAR GAUTAM,Bharatiya Janata Party,500453,1381,501834,44.28,Uttar Pradesh,Aligarh - 15,S2415
2114,UJJWAL RAMAN SINGH,Indian National Congress,461100,1045,462145,48.8,Uttar Pradesh,Allahabad - 52,S2452
2115,LALJI VERMA,Samajwadi Party,543721,1238,544959,46.3,Uttar Pradesh,Ambedkar Nagar - 55,S2455
2116,KISHORI LAL,Indian National Congress,536680,2548,539228,54.99,Uttar Pradesh,Amethi - 37,S2437
2117,KANWAR SINGH TANWAR,Bharatiya Janata Party,475210,1296,476506,42.9,Uttar Pradesh,Amroha - 9,S249
2118,NEERAJ MAURYA,Samajwadi Party,491119,1396,492515,45.23,Uttar Pradesh,Aonla - 24,S2424
2119,DHARMENDRA YADAV,Samajwadi Party,504837,3402,508239,48.2,Uttar Pradesh,Azamgarh - 69,S2469
2120,ADITYA YADAV,Samajwadi Party,501390,465,501855,45.97,Uttar Pradesh,Badaun - 23,S2423
2121,DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,485765,3202,488967,52.36,Uttar Pradesh,Baghpat - 11,S2411
2122,ANAND KUMAR,Bharatiya Janata Party,518575,227,518802,49.1,Uttar Pradesh,Baharaich - 56,S2456
2123,SANATAN PANDEY,Samajwadi Party,464473,2595,467068,46.37,Uttar Pradesh,Ballia - 72,S2472
2124,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,406018,549,406567,38.94,Uttar Pradesh,Banda - 48,S2448
2125,KAMLESH PASWAN,Bharatiya Janata Party,427528,1165,428693,45.38,Uttar Pradesh,Bansgaon - 67,S2467
2126,TANUJ PUNIA,Indian National Congress,718528,1399,719927,55.78,Uttar Pradesh,Barabanki - 53,S2453
2127,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,565600,1527,567127,50.66,Uttar Pradesh,Bareilly - 25,S2425
2128,RAM PRASAD CHAUDHARY,Samajwadi Party,523487,3518,527005,48.67,Uttar Pradesh,Basti - 61,S2461
2129,DR. VINOD KUMAR BIND,Bharatiya Janata Party,458877,1105,459982,42.39,Uttar Pradesh,Bhadohi - 78,S2478
2130,CHANDAN CHAUHAN,Rashtriya Lok Dal,402604,1889,404493,39.48,Uttar Pradesh,Bijnor - 4,S244
2131,DR BHOLA SINGH,Bharatiya Janata Party,594040,3270,597310,56.65,Uttar Pradesh,Bulandshahr - 14,S2414
2132,BIRENDRA SINGH,Samajwadi Party,472928,1548,474476,42.5,Uttar Pradesh,Chandauli - 76,S2476
2133,SHASHANK MANI,Bharatiya Janata Party,503509,1032,504541,48.36,Uttar Pradesh,Deoria - 66,S2466
2134,ANAND BHADAURIYA,Samajwadi Party,442650,1093,443743,39.91,Uttar Pradesh,Dhaurahra - 29,S2429
2135,JAGDAMBIKA PAL,Bharatiya Janata Party,462614,689,463303,45.47,Uttar Pradesh,Domariyaganj - 60,S2460
2136,DEVESH SHAKYA,Samajwadi Party,474263,1545,475808,47.09,Uttar Pradesh,Etah - 22,S2422
2137,JITENDRA KUMAR DOHARE,Samajwadi Party,489358,1389,490747,47.47,Uttar Pradesh,Etawah - 41,S2441
2138,AWADHESH PRASAD,Samajwadi Party,553549,740,554289,48.59,Uttar Pradesh,Faizabad - 54,S2454
2139,MUKESH RAJPUT,Bharatiya Janata Party,486925,1038,487963,47.2,Uttar Pradesh,Farrukhabad - 40,S2440
2140,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,499866,462,500328,45.2,Uttar Pradesh,Fatehpur - 49,S2449
2141,RAJKUMAR CHAHAR,Bharatiya Janata Party,442862,2795,445657,43.09,Uttar Pradesh,Fatehpur Sikri - 19,S2419
2142,AKSHAYA YADAV,Samajwadi Party,541861,1176,543037,49.04,Uttar Pradesh,Firozabad - 20,S2420
2143,DR. MAHESH SHARMA,Bharatiya Janata Party,855413,2416,857829,59.69,Uttar Pradesh,Gautam Buddha Nagar - 13,S2413
